Loss,MSE,DTW,TDI
DILATE,1.1304090605692918,3.361090475858118,3.669742202247191
MSE,0.8684943016995205,3.484867450556606,4.603229213483146
SOFT DTW,1.2618714353341736,3.116174883039393,6.379717393258426
